"Número Licitação";"Código UG";"Nome UG";"Código Modalidade Compra";"Modalidade Compra";"Número Processo";"Objeto";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"UF";"Município";"Data Resultado Compra";"Data Abertura";"Valor Licitação"
"000012019";"764000";"DIRETORIA DO PESSOAL DA MARINHA";"9999";"Pregão - Registro de Preço";"63011010159201941";"Objeto: Pregão Eletrônico - Aquisição de gêneros alimentícios";"Publicado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"RJ";"RIO DE JANEIRO";"23/10/2020";"25/03/2020";"14038,8000"
"000012020";"927427";"CONSELHO REG. DE ENGENHARIA E AGRONOMIA - MA";"5";"Pregão";"2623122/2020";"Objeto: Pregão Eletrônico - Aquisição de licença de uso de Software, contemplando usuários simultâneos ilimitados, para o SISTEMA CORPORATIVO do CREA-MA  Conselho Regional de Engenharia e Agronomia do Maranhão, que contemple a atividade fim deste Conselho com abrangência na Sede e Inspetorias, incluindo serviços de suporte e manutenção, treinamento(opcional) e capacitação de usuários e multiplicadores relativos ao SISTEMA CORPORATIVO licenciado.";"Divulgado";"38874";"CONSELHO REG. DE ENGENHARIA E AGRONOMIA-BA";"38874";"CONSELHO REG. DE ENGENHARIA E AGRONOMIA-BA";"-3";"Inválido";"05/10/2020";"05/10/2020";"0,00"
"000012020";"113218";"NUCLEO REG. DE AVIACAO CIVIL DE RECIFE";"7";"Inexigibilidade de Licitação";"00067000070202045";"Objeto: Contrato 01/ANAC/Recife/2020 - NURAC Recife com a COMPESA.  Objeto: Fornecimento de água e esgotamento sanitário para o NURAC Recife da ANAC.?Vig ência: 11/01/2021 a 11/01/2026.";"Publicado";"68000";"Ministério de Portos e Aeroportos";"62201";"Agência Nacional de Aviação Civil";"PE";"RECIFE";"22/10/2020";"";"33989,0000"
"000012020";"114609";"UNIDADE ESTADUAL DO IBGE NO PIAUI";"7";"Inexigibilidade de Licitação";"21539.24/2012";"Objeto: Serviços de Fornecimento de Energia Elétrica, no âmbito da Unidade Estadual do IBGE no Piauí, Durante o Exercício 2020 e seguintes.";"Publicado";"47000";"Ministério do Planejamento e Orçamento";"25205";"Fundação Instituto Brasileiro de Geografia ";"PI";"TERESINA";"05/10/2020";"";"360000,0000"
"000012020";"114613";"SUPERINTENDENCIA ESTADUAL DO IBGE NA PARAIBA";"7";"Inexigibilidade de Licitação";"20681.105/2037";"Objeto: Contratação da Empresa Brasileira de Correios e Telégrafos - ECT por meio de inexigibilidade para prestação de serviços de malote, correspondências e telegrama para o IBGE da Paraíba, pelo período de 60 meses.";"Publicado";"47000";"Ministério do Planejamento e Orçamento";"25205";"Fundação Instituto Brasileiro de Geografia ";"PB";"JOAO PESSOA";"23/10/2020";"";"408060,0000"
"000012020";"114623";"SUPERINTENDENCIA ESTADUAL DO IBGE NO PARANA";"7";"Inexigibilidade de Licitação";"21097.295/2019";"Objeto: Contratação de empresa para fornecimento continuado de energia elétrica a partir de 01/01/2021 por prazo indeterminado, para uso exclusivo da unidade consumidora da agência do IBGE no município de Rio Negro/PR.";"Publicado";"47000";"Ministério do Planejamento e Orçamento";"25205";"Fundação Instituto Brasileiro de Geografia ";"PR";"CURITIBA";"09/10/2020";"";"3963,6500"
"000012020";"120016";"GRUPAMENTO DE APOIO DE S J CAMPOS";"2";"Tomada de Preços";"67720002629202091";"Objeto: Contratação de empresa especializada para execução do Projeto Básico nº 010/PASJ/2019 que trata de serviços de engenharia empregados na revitalização da rede elétrica de alimentação do bloco H 20B, com fornecimento de materiais, equipamentos e mão-de-obra, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"SP";"SAO JOSE DOS CAMPOS";"01/10/2020";"";"182901,9300"
"000012020";"120629";"GRUPAMENTO DE APOIO DE CANOAS";"2";"Tomada de Preços";"67278031866202035";"Objeto: Recuperação da Infraestrutura para a Modernização do Sistema de Balizamento Noturno da ALA 3, no município de Canoas/RS, mediante regime de empreitada por preço unitário, conforme os dados, detalhes e desenhos constantes no projeto de engenharia, anexo ao Edital.";"Publicado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"RS";"CANOAS";"19/10/2020";"";"751245,5500"
"000012020";"120631";"BASE AEREA DE NATAL";"2";"Tomada de Preços";"67703004987201911";"Objeto: O objeto da presente licitação é a escolha da proposta mais vantajosa para a contratação de empresa de engenharia especializada para realizar a Substituição dos Alimentadores do Quadro de Distribuição de Energia Elétrica da Seção de Telemedidas do Centro de Lançamento da Barreira do Inferno (CLBI), conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"RN";"PARNAMIRIM";"22/10/2020";"";"127231,6900"
"000012020";"120634";"GRUPAMENTO DE APOIO DE BARBACENA";"3";"Concorrência";"67552017351202036";"Objeto: Serviço de Reparo e Adequações do PRVF do Grupamento de Apoio de Barbacena (GAP-BQ).";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"MG";"BARBACENA";"02/10/2020";"";"193618,0000"
