"Número Licitação";"Código UG";"Nome UG";"Código Modalidade Compra";"Modalidade Compra";"Número Processo";"Objeto";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"UF";"Município";"Data Resultado Compra";"Data Abertura";"Valor Licitação"
"000012019";"495600";"COMPANHIA DE PESQUISA DE RECURSOS MINERAIS";"6";"Dispensa de Licitação";"600.149/19";"Objeto: Objeto: Aquisição KIT PORTÁTIL DE MEDIÇÃO DE ALCALINIDADE EM CAMPO, PELO MÉTODO DE TITULAÇÃO COM TITULADOR DIGITAL E ÁCIDO SULFÚRICO. Data/horário abertura da Sessão Pública: 13/09/2019 - 14:00h Data/horário encerramento da Sessão Pública: 17/09/2019 - 14:00h Observações Gerais: O licitante convocado deverá enviar imediatamente via E-MAIL (pregoeirobh@cprm.gov.br com cópia bruno.miranda@cprm.gov.br) sua proposta e documentação: PROPOSTA: . com as informações: detalhamento do bem, valor unitário e valo";"Encerrado";"32000";"Ministério de Minas e Energia";"29208";"Companhia de Pesquisa de Recursos Minerais";"MG";"BELO HORIZONTE";"16/09/2022";"13/09/2019";"1871,0000"
"000012021";"160059";"BATALHAO DE GUARDA PRESIDENCIAL";"9999";"Pregão - Registro de Preço";"640560012202021";"Objeto: Pregão Eletrônico - Aquisição de fardamentos e peças de uniformes especiais e sob medida em proveito do Batalhão da Guarda Presidencial.";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"DF";"BRASILIA";"20/09/2022";"11/04/2022";"0,00"
"000012021";"160435";"7 REGIMENTO DE CAVALARIA MECANIZADO";"7";"Inexigibilidade de Licitação";"64677.004342/2021";"Objeto: Prestação de serviço de publicidade legal.";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"RS";"SANTANA DO LIVRAMENTO";"26/09/2022";"";"25000,0000"
"000012021";"765741";"LABORATORIO FARMACEUTICO DA MARINHA";"2";"Tomada de Preços";"63071000543202146";"Objeto: Contratação dos serviços de obras de instalações das redes de esgoto, caixas de passagem, estações elevatórias de esgoto, fornecimento e instalação de bombas de recalque de esgotos e recomposições de ruas e calçadas, conforme condições, quantidades e exigências estabelecidas no Edital.";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"RJ";"RIO DE JANEIRO";"06/09/2022";"";"1150339,8500"
"000012022";"927871";"CONSELHO REGIONAL DE BIOMEDICINA 6A - PR";"5";"Pregão";"0012022";"Objeto: Pregão Eletrônico - Aquisição de 01 (um) veículo zero quilômetro";"Divulgado";"38000";"Sem informação";"38970";"CONSELHO REGIONAL DE BIOMEDICINA 6ª - PR";"-3";"Inválido";"05/09/2022";"05/09/2022";"0,00"
"000012022";"926810";"CONSELHO REGIONAL DE CONTABILIDADE - MA";"5";"Pregão";"2022/000115";"Objeto: Pregão Eletrônico - Aquisição de equipamentos de informática (hardware e software), conforme especificações e quantidades constantes no termo de referência.";"Divulgado";"38500";"CONSELHO FEDERAL DE CONTABILIDADE";"38508";"CONSELHO REGIONAL DE CONTABILIDADE-MA";"-3";"Inválido";"27/09/2022";"23/09/2022";"7965,9000"
"000012022";"110096";"SUPERINTENDENCIA REG. DE ADMIN. DA 5ª REGIAO";"7";"Inexigibilidade de Licitação";"00587000757202010";"Objeto: Locação de imóvel medindo 267,41m2 de área útil no 1º pavimento e 43,32m2 no 2º pavimento, totalizando 310,73m2, do Empresarial Nordeste Corporate situado no endereço Rua Artur Antônio da Silva, 376/446, bairro Universitário, no Município de Caruaru/PE, objetivando abrigar a Procuradoria Seccional Federal em Caruaru/PE.";"Publicado";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vín";"PE";"RECIFE";"21/09/2022";"";"1207745,4000"
"000012022";"113201";"COMISSAO NACIONAL DE ENERGIA NUCLEAR";"5";"Pregão";"01341004702202105";"Objeto: Pregão Eletrônico - Contratação de empresa especializada na prestação de serviços de natureza continuada de limpeza e conservação para as instalações do Escritório de Brasília (ESBRA), da Comissão Nacional de Energia Nuclear (CNEN) localizado no SCN Quadra 04, Bloco B, Centro Empresarial VARIG, 10º Andar, Sala 1002 B, Brasília/DF, conforme condições, quantidades e exigências estabelecidas neste instrumento e seus anexos.";"Publicado";"24000";"Ministério da Ciência, Tecnologia e Inovaç";"20301";"Comissão Nacional de Energia Nuclear";"RJ";"RIO DE JANEIRO";"20/09/2022";"15/09/2022";"56742,2000"
"000012022";"113210";"COMISSAO NACIONAL DE ENERGIA NUCLEAR-LAPOC";"5";"Pregão";"01346.000167/2022";"Objeto: Pregão Eletrônico - Contratação de pessoa jurídica para prestação de serviços continuados de limpeza, asseio, conservação de áreas internas e externas, áreas verdes e jardinagem, com fornecimento de mão de obra e de todos os materiais, equipamentos e ferramentas, EPIs e uniformes necessários a realização dos serviços a serem executados nas instalações do Laboratório de Poços de Caldas, CNEN  MG, conforme condições, quantidades e exigências estabelecidas em Edital e seus anexos.";"Publicado";"24000";"Ministério da Ciência, Tecnologia e Inovaç";"20301";"Comissão Nacional de Energia Nuclear";"MG";"POCOS DE CALDAS";"14/09/2022";"23/08/2022";"676508,6400"
"000012022";"120014";"BASE AEREA DE FORTALEZA";"7";"Inexigibilidade de Licitação";"67437037255201997";"Objeto: Prestação de Serviços de Assistência Médico-Hospitalar aos Usuários do Fundo de Saúde de Aeronáutica (FUNSA)";"Publicado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"CE";"FORTALEZA";"14/09/2022";"";"200000,0000"
"000012022";"120023";"BASE AEREA DE SALVADOR";"2";"Tomada de Preços";"67224023519202064";"Objeto: Contratação de serviço de restauração da marquise do anexo operacional da Base Aérea de Salvador";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"BA";"SALVADOR";"21/09/2022";"";"179932,5000"
"000012022";"120064";"ESCOLA DE ESPECIALISTAS DE AERONAUTICA";"7";"Inexigibilidade de Licitação";"67540010127202214";"Objeto: Contratação de Sistema VIDEOFARMA BANCO DE DADOS (SIMPRO) com atualização semanal, consulta via internet para 05 terminais e validade de 12 meses.";"Encerrado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"SP";"GUARATINGUETA";"05/09/2022";"";"5230,0000"
"000012022";"120632";"GRUPAMENTO DE APOIO DE RECIFE";"2";"Tomada de Preços";"67223002417202104";"Objeto: Contratação de empresa para execução da recuperação das estruturas de concreto da garagem/subsolo do próprio nacional residencial administrado pela PREFEITURA DE AERONÁUTICA DE RECIFE (PARF), de propriedade da UNIÃO, localizado em rua dos navegantes, n¿ 2550, BOA VIAGEM  CEP: 51.020-903  RECIFE/PE (EDIFÍCIO CHARLES ASTOR), incluindo mão de obra especializada, bem como material necessário.";"Publicado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"PE";"RECIFE";"23/09/2022";"";"533502,3100"
"000012022";"120638";"BASE AEREA DE CAMPO GRANDE";"9999";"Pregão - Registro de Preço";"67261007525202117";"Objeto: Pregão Eletrônico - Contratação de empresas especializadas na prestação de serviços, por demanda, de manutenção de máquinas e equipamentos (BACG).";"Publicado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"MS";"CAMPO GRANDE";"27/09/2022";"25/07/2022";"10800,0000"
"000012022";"120641";"BASE AEREA DE PORTO VELHO";"7";"Inexigibilidade de Licitação";"67436011727202114";"Objeto: Credenciamento de Organizações Civis de Saúde (OCS) e Profissionais de Saúde Autônomos (PSA) interessadas na prestação de serviços de assistência médico-hospitalar, fonoaudiologia, fisioterapia, nutrição, psicologia, terapia ocupacional e laboratorial aos usuários do Fundo de Saúde da Aeronáutica (FUNSA), dentro do Estado de Rondônia.";"Publicado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"RO";"PORTO VELHO";"23/09/2022";"";"50000,0000"
"000012022";"120669";"BASE AEREA DE SANTA CRUZ";"2";"Tomada de Preços";"67269003327202104";"Objeto: Contratação de empresa especializada para a execução da obra de construção do Prédio da Recepção/Guarda do Primeiro Esquadrão do Primeiro Grupo de Comunicações e Controle (1º/1º GCC).";"Publicado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"RJ";"RIO DE JANEIRO";"23/09/2022";"";"788006,2000"
"000012022";"130018";"SUPERINT.DE AGRICULTURA E PECUARIA - SFA/TO";"7";"Inexigibilidade de Licitação";"21056000631202277";"Objeto: Constitui objeto deste Contrato a distribuição, pela CONTRATADA, da publicidade legal impressa e/ou eletrônica de interesse do(a) para atender as necessidades de serviços de comunicação em geral da SFA/TO.";"Encerrado";"22000";"Ministério da Agricultura e Pecuária";"22000";"Ministério da Agricultura e Pecuária - Unid";"TO";"PALMAS";"09/09/2022";"";"17600,0000"
"000012022";"130090";"SUPERINT.DE AGRICULTURA E PECUARIA - SFA/AM";"5";"Pregão";"21010000395202215";"Objeto: Pregão Eletrônico - Contratação de empresa especializada para a prestação de serviços de outsourcing de impressão corporativa para atender às necessidades de impressão, de cópia e de digitalização da Superintendência Federal de Agricultura no Amazonas - SFA-AM.";"Publicado";"22000";"Ministério da Agricultura e Pecuária";"22000";"Ministério da Agricultura e Pecuária - Unid";"AM";"MANAUS";"12/09/2022";"12/09/2022";"0,00"
"000012022";"130149";"SERVICO FLORESTAL BRASILEIRO";"7";"Inexigibilidade de Licitação";"21000035480202213";"Objeto: Contratação de 11 taxas de inscrição para que servidores do Laboratório de Produtos Florestais (LPF) possam participar do V Congresso Brasileiro de Ciência e Tecnologia de Madeira.";"Encerrado";"44000";"Ministério do Meio Ambiente e Mudança do Cl";"44208";"Serviço Florestal Brasileiro";"DF";"BRASILIA";"08/09/2022";"";"4107,0000"
"000012022";"133088";"SUPERINT. REGIONAL DO DF E ENTORNO - SR(DF)";"6";"Dispensa de Licitação";"54000.041657/2022";"Objeto: O objeto da presente dispensa é a escolha da proposta mais vantajosa para a contratação por dispensa de licitação para fornecimento de Água, Café e Açúcar, conforme condições, quantidades e exigências estabelecidas neste Aviso de Contratação Direta e seus anexos.";"Encerrado";"49000";"Ministério do Desenvolvimento Agrário e Agr";"22201";"Instituto Nacional de Colonização e Reforma";"DF";"BRASILIA";"06/09/2022";"";"18032,5000"
"000012022";"135038";"EMBRAPA/CENARGEN";"5";"Pregão";"21195002283202105";"Objeto: Pregão Eletrônico - Contratação de empresa especializada para prestação de serviços de manutenção preventiva e corretiva em câmaras frias e de secagem localizadas na Embrapa Recursos Genéticos e Biotecnologia.";"Publicado";"22000";"Ministério da Agricultura e Pecuária";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"DF";"BRASILIA";"12/09/2022";"17/08/2022";"670369,6500"
"000012022";"135586";"CONAB SEDE SUREG ALAGOAS";"6";"Dispensa de Licitação";"21222001006202283";"Objeto: Aquisição de café em pó moído e torrado e açúcar cristal conforme especificações, condições, quantidades e exigências estabelecidas no Termo de Referência.";"Encerrado";"49000";"Ministério do Desenvolvimento Agrário e Agr";"22211";"Companhia Nacional de Abastecimento";"AL";"MACEIO";"29/09/2022";"";"4474,0400"
"000012022";"151895";"INST.FED.SUL-RIO-GRANDENSE/VISCONDE DA GRACA";"5";"Pregão";"23341000566202290";"Objeto: Pregão Eletrônico - Serviço especializado em manutenção preventiva e corretiva de máquinas e implementos agrícolas.";"Publicado";"26000";"Ministério da Educação";"26436";"Instituto Federal de Educação, Ciência e T";"RS";"PELOTAS";"02/09/2022";"19/07/2022";"159050,0000"
"000012022";"151964";"INST.FED.SUL-RIO-GRANDENSE/VENANCIO AIRES";"6";"Dispensa de Licitação";"23356000895202271";"Objeto: Aquisição de gases para serem usados nas aulas práticas dos cursos do câmpus Venâncio Aires";"Encerrado";"26000";"Ministério da Educação";"26436";"Instituto Federal de Educação, Ciência e T";"RS";"VENANCIO AIRES";"16/09/2022";"08/09/2022";"1158,0000"
"000012022";"153035";"UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO";"2";"Tomada de Preços";"23085012941202131";"Objeto: Contratação de empresa especializada em construção civil para execução de obras de adequação do Sistema de Combate a Incêndio e Pânico (CIP) do Prédio da Reitoria e da Biblioteca Central na Unidade Abadia da Universidade Federal do Triângulo Mineiro  UFTM";"Evento de Resultado de Julgame";"26000";"Ministério da Educação";"26254";"Universidade Federal do Triângulo Mineiro";"MG";"UBERABA";"05/09/2022";"";"368180,8200"
"000012022";"153128";"DECANATO DO CENT DE FILOSOF. E C HUM. DA UFRJ";"7";"Inexigibilidade de Licitação";"23079228031202239";"Objeto: Inscrição de discentes do PPGF no XIX Encontro Nacional da ANPOF, a ser realizado entre os dias 10 e 14 de outubro de 2022";"Encerrado";"26000";"Ministério da Educação";"26245";"Universidade Federal do Rio de Janeiro";"RJ";"RIO DE JANEIRO";"16/09/2022";"";"9500,0000"
"000012022";"153157";"DECANATO DO CENTRO DE TECNOLOGIA DA UFRJ";"7";"Inexigibilidade de Licitação";"23079239547202217";"Objeto: Atender a smc nº 027/2022, PAGAMENTO DE INSCRIÇÃO DE 04(QUATRO) DISCENTES E 03(TRÊS) DOCENTES PARA PARTICIPAR DO XLII ENCONTRO NACIONAL DE ENGENHARIA DE PRODUÇÃO (ENEGEP), QUE OCORRERÁ NOS DIAS 4 A 7 DE OUTUBRO DE 2022, PARA APRESENTAÇÃO DE ARTS APROVADOS.";"Encerrado";"26000";"Ministério da Educação";"26245";"Universidade Federal do Rio de Janeiro";"RJ";"RIO DE JANEIRO";"22/09/2022";"";"2656,0000"
"000012022";"154773";"INST.FED.SUL-RIO-GRANDENSE/SANT.DO LIVRAMENTO";"6";"Dispensa de Licitação";"23495000645202247";"Objeto: Contratação de Pessoa Jurídica para prestação de serviço de recarga de extintores para atender às necessidades do Instituto Federal Sul-rio-grandense, Campus Santana do Livramento.";"Encerrado";"26000";"Ministério da Educação";"26436";"Instituto Federal de Educação, Ciência e T";"RS";"SANTANA DO LIVRAMENTO";"01/09/2022";"";"1040,0000"
"000012022";"154840";"INST FED RN / CAMPUS SAO PAULO DO POTENGI";"7";"Inexigibilidade de Licitação";"23515001299202239";"Objeto: Pagamento de inscrição do servidor Neuber Nascimento de Araujo, mat. 2256109, referente ao 24¿ Congresso Brasileiro de Engenharia e Ciência dos Materiais, , no período de 06 a 10 de novembro de 2022, em Águas de Lindóia/SP.";"Encerrado";"26000";"Ministério da Educação";"26435";"Instituto Federal de Educação, Ciência e T";"RN";"SAO PAULO DO POTENGI";"23/09/2022";"";"400,0000"
"000012022";"154858";"IFMA/CAMPUS ARAIOSES";"6";"Dispensa de Licitação";"23249015718202215";"Objeto: Contratação de empresa para execução de serviços comuns de engenharia referentes à manutenção da subestação aérea unitária do IFMA Campus Araioses, localizado na Rua José de Alencar, s/n - Comprida 65570-000, conforme condições e quantidade e exigências estabelecidas no termo de referência, aviso e demais documentos.";"Encerrado";"26000";"Ministério da Educação";"26408";"Instituto Federal de Educação, Ciência e T";"MA";"ARAIOSES";"26/09/2022";"";"72542,1500"
"000012022";"155014";"HOSPITAL UNIVERSITARIO ANA BEZERRA";"7";"Inexigibilidade de Licitação";"23527006747202251";"Objeto: Contratação de 02 (duas) vagas abertas na Formação Windows Server 2019, na modalidade EaD síncrona (on-line, com transmissão ao vivo), para empregados do Hospital Universitário Ana Bezerra, a ser ministrado pela empresa CURSO ADV LTDA.";"Encerrado";"26000";"Ministério da Educação";"26443";"Empresa Brasileira de Serviços Hospitalares";"RN";"SANTA CRUZ";"23/09/2022";"";"2872,0000"
